pdf_page,id,filename,caption,description
22,Figure 1.1,Figure1.1_TheLevelsOfSALWClassificationAsOutlinedIn.png,"The levels of SALW classification as outlined in ARCS. From the top down, each level increases in detail (and, broadly, intensionality) and clarity, moving from the general classification task to that of identification (source: ARES via Jenzen-Jones & Schroeder, 2018b).","Concept diagram showing the levels of ARCS classification/identification, arranged from broad to detailed."
25,Figure 2.1,Figure2.1_TypicalGrippingMethodUsedForAHandgun.png,"Typical gripping method used for a handgun. At the Type level, a key distinction for small arms is whether or not the weapon is rifled. Researchers may often assume that a given weapon is rifled during this step, as most modern firearms feature rifling, and most unrifled (‘smoothbore’) firearms in circulation are distinctive.24 Although smoothbore long guns (other than shotguns) 24 Smoothbore (unrifled) firearms pre-date their rifled counterparts, and weapons designed to fire multiple projectiles from a single barrel (broadly analogous to modern shotguns) date back to the dawn of firearms technology (Jenzen-Jones & Ferguson, 2018a; Jenzen-Jones, 2021a). Control Hand Support Hand","Illustration of a person holding a handgun, with callouts indicating control hand vs support hand to show how the category is defined."
26,Figure 2.2,Figure2.2_TypicalGrippingMethodUsedForALongRifle.png,Typical gripping method used for a long rifle. Control Hand Support Hand,"Illustration of a person holding a long rifle, with callouts indicating control hand vs support hand."
27,Figure 2.3,Figure2.3_TheARCSClassificationSchemaForTheSmallArms.png,The ARCS classification schema for the Small Arms Class (source: ARES).,Hierarchy/flow-style schema laying out ARCS categories (Class → Group → Type → Sub-type / method of operation) in a tree/table format.
28,Figure 2.4,Figure2.4_TheARCSClassificationSchemaForTheLightWeapons.png,The ARCS classification schema for the Light Weapons Class (source: ARES). Class Group Type Sub-type Light Weapons Light Guns Other Light Weapons Light Flamethrowers Light Rocket Launchers Heavy Machine Guns Light Cannon Light Recoiless Guns Light Grenade Launchers Crew-portable Mortars Light Projectors Light Guided Missile Launchers Light CBR Dispersal Weapons Other Light Powered Munition Launchers Light Mortars Medium Mortars Light Directed Energy Weapons Light Powered Munition Launchers,Hierarchy/flow-style schema laying out ARCS categories (Class → Group → Type → Sub-type / method of operation) for light weapons in a tree/table format.
31,Figure 2.5,Figure2.5_AFiveManRussianMortarCrewCarryingADisassembled.png,A five-man Russian mortar crew carrying a disassembled 2B24 Sani 82 mm medium mortar (source: CRI Burevestnik).,Photographic plate showing example revolvers arranged side-by-side for comparison.
31,Figure 2.6,Figure2.6_ADegtyaryovPlantPKTMMachineGunWhichIs.png,"A Degtyaryov Plant PKTM machine gun, which is fired by a solenoid and typically integrated into armoured fighting vehicles (source: Rosoboronexport).",Photographic plate showing example self-loading pistols arranged side-by-side for comparison.
34,Figure 2.7,Figure2.7_ThreeCommon20MmCartridgesComparedWithA.png,"Three common 20 mm cartridges compared with a common .50 inch (12.7 mm) cartridge. The former are used in light cannon, whilst the latter is used in heavy machine guns and some large rifles. Left to right: 12.7 × 99 mm, 20 × 102 mm, 20 × 128 mm, 20 × 139 mm (source: Nammo). 41 There are several exceptions to this general rule. Nammo’s 12.7 × 99 mm MP cartridge and the Soviet 14.5 × 114 mm BZT cartridge, for example, both contain high explosive incendiary (HEI) compositions. It also bears mentioning that there has been a trend towards kinetic energy projectiles for use in 20 mm cartridges, such as Rheinmetall of Germany’s Frangible Armour Piercing (FAP) projectiles (Kerk, 2014). 42 Whilst largely obsolete, limited numbers of modern firearms that would likely be considered small arms have been produced in these calibres. See, for example: Schroeder & Hetzendorfer, n.d; TOZ, 2004.",Photographic plate showing other handgun examples arranged side-by-side.
38,Figure 2.10,Figure2.10_TypicalPartsOfASelfLoadingPistol.png,"Typical parts of a self-loading pistol (sources: ARES). Hammer Trigger Pistol grip Barrel release Front sight Barrels Barrel locking lug Chambers Muzzles Ejection port Slide Rear sight Hammer Grip safety (not always present) Front sight Magazine Slide stop Trigger Lanyard loop (Magazine release alternate location) Barrel Muzzle Safety Magazine release Pistol grip this is rare. In addition to self-loading pistols and revolvers, discussed below, less common designs of handgun may also be encountered. These include break-open designs such as derringers; fixed or revolving ‘pepperbox’ designs with multiple barrels, each with its own chamber; and even bolt-action or lever-action models.",Labeled schematics of multiple other handgun types with component labels.
38,Figure 2.8,Figure2.8_TypicalPartsOfABreakOpenHandgunInThis.png,"Typical parts of a break-open handgun, in this case a double-barreled derringer (sources: ARES).",Labeled schematic identifying key external parts/components of a revolver.
38,Figure 2.9,Figure2.9_TypicalPartsOfARevolverInThisCase.png,"Typical parts of a revolver, in this case a single-action model (sources: ARES).",Labeled schematic identifying key external parts/components of a self-loading pistol.
40,Figure 2.12,Figure2.12_Visual.png,"(Opposite page, left to right) Galand M1870 (.45 cal), S&W Model 360 (.357 Magnum/.38 Special). (This page, top to bottom) Webley Mk VI (.455 Webley), Chiappa Rhino (.357 Magnum/.38 Special), MAS Modèle 1873 (11 x 17.8R mm), Taurus Raging Hunter (.357 Magnum/.38 Special) [not to scale] (sources: Justin Baird/ARES, N.R. Jenzen-Jones/ARES; Wikimedia Commons; Taurus Armas S.A.; Chiappa Firearms).",Photographic plate of rifle cartridge examples laid out left-to-right.
42,Figure 2.13,Figure2.13_LeftColumnTopToBottomGlock17.png,"Left column, top to bottom: Glock 17 (9 × 19 mm); Tula Arms Plant PM (9 × 18 mm); Heckler & Koch USP (.45 ACP); AMT Backup (.380 ACP). Right column, top to bottom: DWM Luger P08 (9 × 19 mm); Steyr Model 1911 (Chilean contract, 9 × 23 mm); Adler Pistole Modell 1906 (7.25 × 17.5 mm); Mauser Model 1930 (Chinese commercial contract, 7.63 × 25 mm) [not to scale] (source: Wikimedia Commons; N.R. Jenzen-Jones/ARES; Rock Island Auction Company).",Photographic plate of handgun cartridge examples laid out left-to-right.
44,Figure 2.14,Figure2.14_CrossSectionalDiagramShowingKeyComponentsOfAContemporary.png,"Cross-sectional diagram showing key components of a contemporary (rimless, centrefire) rifle cartridge, in this case a 7.62 × 51 mm cartridge (source: ARES).",Photographic plate of shotgun cartridge examples laid out left-to-right.
45,Figure 2.15,Figure2.15_CrossSectionalDiagramShowingKeyComponentsOfAContemporary.png,"Cross-sectional diagram showing key components of a contemporary handgun cartridge, in this case a 9 × 19 mm cartridge (source: ARES).",Photographic plate of shotgun examples arranged side-by-side.
45,Figure 2.16,Figure2.16_CrossSectionalDiagramsShowingKeyComponentsOfAContemporary.png,"Cross-sectional diagrams showing key components of a contemporary shotgun cartridge, in this case a 12-gauge (18.5 mm) shotgun cartridge (source: ARES).",Labeled schematics of several shotgun types with key parts highlighted.
48,Figure 2.17,Figure2.17_DominantRifleCartridgesInMilitaryServiceGloballyLR.png,"Dominant rifle cartridges in military service globally, L–R: 5.56 × 45 mm; 7.62 × 51 mm; 7.62 × 39 mm; 5.45 × 39 mm; 7.62 × 54R mm; and 5.8 × 42 mm (source: Jack Dutschke/ARES).",Photographic plate of rifle examples arranged side-by-side.
48,Figure 2.18,Figure2.18_ShowSomeCommonHandgunCartridges.png,show some common handgun cartridges.,Labeled schematics of multiple rifle types with key parts highlighted.
49,Figure 2.18,Figure2.18_SomeCommonHandgunCartridgesLeftToRight9.png,"Some common handgun cartridges, left to right: 9 × 19 mm; 9 × 18 mm; 7.62 × 25 mm; .38 Special (9 × 29.5R mm); .45 ACP (11.43 × 23 mm); 5.7 × 28 mm; and 4.6 × 30 mm (source: Jack Dutschke/ARES). Cartridge designation Country of origin Projectile weight (g) Muzzle velocity (m/s) Muzzle energy (J) .45 ACP (11.43 × 23 mm) United States 14.9 280 584 9 × 19 mm Germany 8.0 440 774 9 × 18 mm Soviet Union 6.1 310 348 .38 Special (9 × 29.5R mm) United States 9.7 270 366 7.62 × 25 mm Soviet Union 5.5 540 802 5.7 × 28 mm Belgium 2.0 715 511 4.6 × 30 mm Germany 2.0 720 520 Table 2.2 – Selected Common Handgun Cartridges Note: All muzzle velocity and muzzle energy figures are approximations and vary according to barrel length, cartridge type and loading, and other factors. Sources: Barnes & Woodard, 2016; Ness and Williams, 2015; Jenzen-Jones, 2018.",Labeled schematics of multiple rifle types with key parts highlighted.
50,Figure 2.19,Figure2.19_AVarietyOfShotgunCartridgesLeftToRight.png,"A variety of shotgun cartridges, left to right: .410 bore; 28 gauge; 20 gauge; 16 gauge; 12 gauge; 10 gauge; 4 gauge. Note that case lengths can change depending on loading (sources: Collectible Ammunition; Five Star Auctions).",Photographic plate of manually operated shotgun examples arranged side-by-side.
51,Figure 2.20,Figure2.20_ComparisonBetweenARifledBarrelAndASmoothbore.png,Comparison between a rifled barrel and a smoothbore barrel (sources: ARES). Rifled bore Rifle barrel Smoothbore Shotgun barrel,Photographic plate of self-loading shotgun examples arranged side-by-side.
52,Figure 2.21,Figure2.21_TypicalPartsOfABreakOpenShotgunItThis.png,"Typical parts of a break-open shotgun, it this case a over-and-under, double-barreled shotgun (sources: ARES). Trigger Secondary trigger (not always present) Sling swivel Muzzles Over barrel Sighting rib Front sight Sling swivel Under barrel Fore-end (handguard) Top lever Buttstock Grip",Comparative visual illustrating rifle/carbine barrel-length categories arranged left-to-right.
53,Figure 2.22,Figure2.22_DetailDiagramsShowingTypicalFeaturesOfBreakOpenShotguns.png,"Detail diagrams showing typical features of break-open shotguns, with the actions open. Left: a single-barrel design; right: a side-by-side, double-barrel design. Note that not all break-open shotguns have external hammers (see Figure 2.21, an over-and-under, double-barrel design with internal hammers) (sources: ARES).",Photographic plate of carbine examples arranged side-by-side.
54,Figure 2.23,Figure2.23_TypicalPartsOfAPumpActionShotgun.png,Typical parts of a pump-action shotgun (sources: ARES).,Photographic plate of sub-machine gun examples arranged side-by-side.
54,Figure 2.24,Figure2.24_TypicalPartsOfASelfLoadingShotgun.png,Typical parts of a self-loading shotgun (sources: ARES). Loading port Front sight Rear sight Buttstock Sling attachment point Trigger Fore-end (handguard) Ejection port Charging handle Accessory rail Magazine (tubular) Barrel Muzzle Pistol grip Action bar Loading port Trigger Safety location (alternate) Safety location Fore-end (handguard) Barrel Ejection port Buttstock Movement (fore-end/pump-grip) Muzzle Grip Front sight Magazine (tubular),Photographic plate of manually operated rifle examples arranged side-by-side.
56,Figure 2.25,Figure2.25_Visual.png,"(Opposite page, top to bottom) Browning B525 Heritage Hunter 20M (20 gauge), Mossberg Model 183KE (.410 bore), Winchester 1887 (10 gauge). (This page, top to bottom) SWD Inc. Street Sweeper (12 gauge), Mossberg 590 Shockwave, Adler Arms A-110 (shortened variant; 12 gauge), KelTec KSG Tactical (12 gauge), Benelli Nova Tactical (12 gauge) [not to scale] (sources: Browning; Sunshine Coast Gun Shop; Rock Island Auction Company; O.F. Mossberg & Sons; Adler Arms; KelTec USA, N.R. Jenzen-Jones/ARES; Benelli USA).",Photographic plate of self-loading rifle examples arranged side-by-side.
58,Figure 2.26,Figure2.26_Visual.png,"(Opposite page, top to bottom) Beretta A300, Browning A5 Hunter, Benelli M4 Tactical, Adler Arms HT-304. (This page, top to bottom) Izhmash Saiga-12 (12 gauge), Atlas Forces Rewold, Franchi SPAS-12, (12 gauge), Daewoo Precision Industries USAS-12 (12 gauge) [not to scale] (sources: Beretta; Browning; Benelli USA; Adler Arms; N.R. Jenzen-Jones/ARES; Atlas Forces; Royal Armouries; Wikimedia Commons).",Photographic plate of man-portable machine gun examples arranged side-by-side.
59,Figure 2.27,Figure2.27_ExamplesOfDifferentRiflingPatternsShownViaThe.png,"Examples of different rifling patterns, shown via the cross-section of a nominal bore. The features have been exaggerated for clarity (source: ARES). 82 No universal definition of an ‘assault rifle’ exists and the term is nebulous at best (Ferguson, 2020; Jenzen-Jones & Ferguson, 2018; ARES, 2017). Nonetheless, as a working definition, ARES considers the term to refer to selective-fire, automatic rifles fed from detachable magazines and chambered for an intermediate-calibre rifle cartridge (see Small Arms Ammunition Terminology, p. 42). 83 That is, in distinguishing a small arm from a light weapon (e.g., a ‘rifle’ from a ‘light cannon’). 84 Note that some patterns of rifling may be difficult to detect. Silicone casting of the bore at the muzzle or chamber end may assist in determining the style and twist rate of a weapon’s rifling. b a b a b a a) lands b) grooves",Labeled schematic identifying key external parts/components of a bolt-action rifle.
60,Figure 2.28,Figure2.28_TypicalPartsOfASingleShotRifleInThis.png,"Typical parts of a single-shot rifle, in this case fitted with an older style of telescopic sight (sources: ARES). Rear sight Front sight Lever Movement (lever) Trigger Buttstock Muzzle Hammer Grip Magazine (tubular) Barrel Loading gate Fore-end (handguard) Magazine (box) Pistol grip Fore-end (handguard) Barrel Muzzle Front sight Rear sight Receiver Fire selector/safety Trigger Buttstock",Labeled schematic identifying key external parts/components of a single-shot rifle with a telescopic sight.
60,Figure 2.29,Figure2.29_TypicalPartsOfABoltActionRifleInThis.png,"Typical parts of a bolt-action rifle, in this case fitted with modern style of telescopic sight (sources: ARES).",Labeled schematic(s) of break-action rifles in single- and double-barrel configurations.
60,Figure 2.30,Figure2.30_TypicalPartsOfALeverActionRifle.png,Typical parts of a lever-action rifle (sources: ARES).,Labeled schematic identifying key external parts/components of a lever-action rifle.
60,Figure 2.31,Figure2.31_TypicalPartsOfASelfLoadingRifleInThis.png,"Typical parts of a self-loading rifle, in this case a select-fire design with a detachable box magazine (sources: ARES). Grip Front sight Barrel Telescopic sight Buttstock Loading gate Rear sight Hammer Trigger Secondary trigger (not always present) Fore-end (handguard) Muzzle Muzzle Telescopic sight Barrel Sling swivel Fore-end Trigger Sling swivel Bolt Movement (bolt) Receiver Buttstock Grip",Labeled schematic identifying key parts of a select-fire self-loading rifle with detachable magazine.
61,Figure 2.32,Figure2.32_Visual.png,"(This page) Imperial Defence Services MG4A5 (5.56 × 45 mm). (Opposite page, top to bottom) SIG MCX Rattler (5.56 × 45 mm); MAC Carabine de Cuirassier Modèle 1890 (8 × 50R mm), Angstadt Arms UDP-9 (9 × 19 mm); Winchester M1 Carbine (.30 Carbine), Tula Plant AKS-74U (5.45 × 39 mm) [not to scale] (source: Sig Sauer; N.R. Jenzen-Jones/ARES; Rob Stott).",Labeled schematic identifying key parts of a select-fire sub-machine gun with detachable magazine.
64,Figure 2.33,Figure2.33_Visual.png,"(Opposite page, top to bottom) RSAF Enfield Martini–Henry (locally modified in the Middle East; .577-450 Martini–Henry), Holland & Holland Round Action Rifle (.500-465 Nitro Express), Ishapore Lee–Enfield No. 4 Mk 1 (.303 British), Winchester Model 1873 (.44-40 WCF). (This page, top to bottom) RSAF Enfield L98A1 (5.56 × 45 mm), craft-produced bolt-action rifle styled after an AK-family weapon (7 × 57 mm), Remington M2010 Enhanced Sniper Rifle (.300 Winchester Magnum), Accuracy International L115A3 (.338 Lapua Magnum), Barrett M99 (.50 BMG) [not to scale] (source: Miles Vining/ARES; Chloe Tousignant/ARES; Rock Island Auction Company; Barrett Firearms).",Labeled schematic identifying key parts of a man-portable machine gun with bipod.
66,Figure 2.34,Figure2.34_Visual.png,"(Opposite page, top to bottom) Chinese Type 56 Carbine (7.62 × 39 mm), Izhmash SVD (7.62 × 54R mm), Zastava M76 (7.92 × 57 mm), Barrett M107A1 (.50 BMG). (This page, top to bottom) SIG AK 53 (7.5 × 55 mm), Zastava M70B1 (7.62 × 39 mm), Kalashnikov Concern AK-101 (5.56 × 45 mm), KelTec SUB CQB (9 × 19 mm), FN Herstal SCAR-H (7.62 × 51 mm), Desert Tech MDR (5.56 × 45 mm) [not to scale] (source: Justin Baird/ARES; Small Arms Survey; Barrett Firearms; N.R. Jenzen-Jones/ARES; Miles Vining/ARES).",Step-by-step diagram illustrating the self-loading operating cycle (feeding/chambering/firing/extracting/ejecting/cocking).
68,Figure 2.35,Figure2.35_Visual.png,"(Opposite page, top to bottom) Norinco CS/LS06 (9 × 19 mm), Military Industries Corporation MP5 (9 × 19 mm). (This page, top to bottom) Veselý V-42 (9 × 19 mm), craft- produced ‘Luty’ sub-machine gun (9 × 19 mm), Heckler & Koch MP7 (4.6 × 30 mm), Cobray M12 (.380 ACP) [not to scale] (sources: Norinco; Miles Vining/ARES; Chloe Tousignant/ARES; N.R. Jenzen-Jones/ARES).",Photographic plate of heavy machine gun examples arranged side-by-side.
70,Figure 2.36,Figure2.36_Visual.png,"(Opposite page) Degtyaryov Plant PKM (fitted with Zenitco accessories; 7.62 × 54R mm). (This page, top to bottom) Heckler & Koch L86A2 (5.56 × 45 mm), CETME AMELI (5.56 × 45 mm), Israel Military Industries Negev (5.56 × 45 mm), Hotchkiss Modèle 1926 (Ottoman contract; 7.92 × 57 mm), Al-Qadisiya Establishments al Quds (7.62 × 39 mm) [not to scale] (sources: N.R. Jenzen-Jones/ARES; Miles Vining/ARES.).",Photo montage/plate of the listed machine guns arranged per caption order.
